RespondentID,Gender,What is your ethnicity?,What is your age group?,How far is your school and/or work from where you live?,How often do you commute to school and/or work by car/your own motorized vehicle,How often do you commute to school and/or work by public transit,How often do you commute to school and/or work by bike,How often do you commute to school and/or work by walking,"When you are NOT commuting to school and/or work, how often do you bike?","If you have children under the age of 18, do you allow them to bike and/or walk to school?",Do you know of any children that have been hit by a car while biking and/or walking in your city?,Have you or any adult you know been hit by a car while biking and/or walking in your city?,"When you bike/walk, is it to commute?","When you bike/walk, is it to be environmentally friendly?","When you bike/walk, is it for recreation?","When you bike/walk, is it for exercise?"
4910810725,Female,Asian,18-25,11-20 miles,5+ times per week,Never,Never,Never,,"Not applicable, I do not have children under 18. <strong>Skip to Question 19.</strong>",Yes,No,,,Recreation,Exercise (not on a stationary bike)
4910775613,Female,White,46-55,2-5 miles,5+ times per week,,1-2 times per month,,1-2 days per week,"Not applicable, I do not have children under 18. <strong>Skip to Question 19.</strong>",No,"Yes, biking",To commute to school or work,Be Environmentally Friendly,Recreation,
4910725285,Female,Other (please specify),36-45,Over 20 miles,3-4 times per week,Never,Never,Never,1-2 times per month,"Not applicable, I do not have children under 18. <strong>Skip to Question 19.</strong>",,,,Be Environmentally Friendly,Recreation,Exercise (not on a stationary bike)
4910633795,Female,Hispanic or Latino,26-35,11-20 miles,1-2 times per week,Never,Never,Never,1-2 times per month,,,,,,Recreation,
4910371306,Male,White,Over 56,Over 20 miles,5+ times per week,Never,Never,Never,3-4 days per week,No,Yes,"Yes, biking",,,Recreation,Exercise (not on a stationary bike)
4910341934,Female,Hispanic or Latino,46-55,,,,,,,,,,,,,
4910026021,Male,Asian,36-45,Over 20 miles,1-2 times per week,3-4 times per week,3-4 times per week,Never,1-2 times per month,"Not applicable, I do not have children under 18. <strong>Skip to Question 19.</strong>",No,"Yes, biking",To commute to school or work,Be Environmentally Friendly,,
4910006644,Male,Hispanic or Latino,36-45,Over 20 miles,3-4 times per week,1-2 times per week,Never,Never,1-2 times per month,No,Yes,"Yes, walking",,,Recreation,
4910003395,Male,White,18-25,6-10 miles,Never,5+ times per week,5+ times per week,Never,5+ days per week,"Not applicable, I do not have children under 18. <strong>Skip to Question 19.</strong>",Yes,"Yes, biking",To commute to school or work,Be Environmentally Friendly,,Exercise (not on a stationary bike)
4909991342,Female,Hispanic or Latino,Over 56,,,,,,1-2 times per month,"Not applicable, I do not have children under 18. <strong>Skip to Question 19.</strong>",No,No,,Be Environmentally Friendly,Recreation,Exercise (not on a stationary bike)
4909931126,Female,Asian,26-35,11-20 miles,3-4 times per week,1-2 times per month,Never,Never,1-2 times per month,"Not applicable, I do not have children under 18. <strong>Skip to Question 19.</strong>",No,No,,Be Environmentally Friendly,Recreation,Exercise (not on a stationary bike)
4909902493,Male,Asian,36-45,,,,,,1-2 days per week,No,No,"Yes, biking",,,Recreation,Exercise (not on a stationary bike)
4909774468,Male,White,Over 56,,,Never,1-2 times per month,Never,3-4 days per week,"Not applicable, I do not have children under 18. <strong>Skip to Question 19.</strong>",Yes,"Yes, biking",,,Recreation,Exercise (not on a stationary bike)
4909686660,Male,Asian,Over 56,,,,,,1-2 days per week,,No,No,,Be Environmentally Friendly,Recreation,Exercise (not on a stationary bike)
4909472211,Female,Asian,46-55,Under 2 miles,1-2 times per week,Never,3-4 times per week,Never,5+ days per week,,No,No,To commute to school or work,Be Environmentally Friendly,Recreation,Exercise (not on a stationary bike)
4909153457,Female,White,Over 56,,,,,,,,No,No,,,Recreation,Exercise (not on a stationary bike)
4908824807,Female,Hispanic or Latino,36-45,Under 2 miles,Never,Never,Never,Never,1-2 days per week,,,,,,Recreation,Exercise (not on a stationary bike)
4908789210,Female,Hispanic or Latino,26-35,Over 20 miles,5+ times per week,Never,Never,Never,1-2 times per month,"Not applicable, I do not have children under 18. <strong>Skip to Question 19.</strong>",No,No,,Be Environmentally Friendly,Recreation,Exercise (not on a stationary bike)
4908775333,Male,Decline to state,26-35,Over 20 miles,,3-4 times per week,3-4 times per week,,3-4 days per week,No,Yes,"Yes, biking",To commute to school or work,,Recreation,Exercise (not on a stationary bike)
4908334526,Other,Decline to state,26-35,6-10 miles,5+ times per week,5+ times per week,5+ times per week,1-2 times per week,3-4 days per week,,No,"Yes, biking",To commute to school or work,Be Environmentally Friendly,Recreation,
4908122013,Female,Asian,36-45,6-10 miles,5+ times per week,,,,1-2 times per month,,Yes,"Yes, biking",,,Recreation,Exercise (not on a stationary bike)
4907763183,Male,Hispanic or Latino,46-55,,,,,,1-2 days per week,"Not applicable, I do not have children under 18. <strong>Skip to Question 19.</strong>",No,"Yes, walking",,Be Environmentally Friendly,Recreation,
4907259493,Female,Hispanic or Latino,46-55,Under 2 miles,3-4 times per week,Never,1-2 times per month,1-2 times per week,3-4 days per week,No,Yes,"Yes, biking",,Be Environmentally Friendly,Recreation,Exercise (not on a stationary bike)
4907187154,Other,Other (please specify),18-25,6-10 miles,3-4 times per week,1-2 times per week,1-2 times per week,Never,1-2 days per week,"Not applicable, I do not have children under 18. <strong>Skip to Question 19.</strong>",No,"Yes, biking",To commute to school or work,,Recreation,Exercise (not on a stationary bike)
4907100235,Female,Hispanic or Latino,26-35,6-10 miles,1-2 times per month,1-2 times per month,5+ times per week,1-2 times per month,1-2 days per week,"Not applicable, I do not have children under 18. <strong>Skip to Question 19.</strong>",No,No,To commute to school or work,,Recreation,
4906752739,Female,Hispanic or Latino,46-55,2-5 miles,1-2 times per month,Never,3-4 times per week,Never,3-4 days per week,"Not applicable, I do not have children under 18. <strong>Skip to Question 19.</strong>",No,"Yes, biking",To commute to school or work,Be Environmentally Friendly,Recreation,Exercise (not on a stationary bike)
4906576433,Male,White,36-45,Over 20 miles,Never,3-4 times per week,1-2 times per week,Never,1-2 times per month,"Not applicable, I do not have children under 18. <strong>Skip to Question 19.</strong>",No,No,To commute to school or work,Be Environmentally Friendly,,
4906569341,Male,Asian,36-45,2-5 miles,Never,Never,1-2 times per week,1-2 times per week,3-4 days per week,,No,No,To commute to school or work,Be Environmentally Friendly,Recreation,Exercise (not on a stationary bike)
4906508449,Female,White,46-55,,,,,,3-4 days per week,Yes,Yes,,,Be Environmentally Friendly,,Exercise (not on a stationary bike)
4906348879,Female,Decline to state,46-55,,1-2 times per month,3-4 times per week,3-4 times per week,1-2 times per month,1-2 times per month,,,,To commute to school or work,Be Environmentally Friendly,Recreation,Exercise (not on a stationary bike)
4906300628,Male,White,36-45,,,,,,5+ days per week,No,No,No,,Be Environmentally Friendly,Recreation,
4906200089,Female,Asian,26-35,,,,,,1-2 days per week,"Not applicable, I do not have children under 18. <strong>Skip to Question 19.</strong>",No,No,,Be Environmentally Friendly,,
4906107179,Male,Hispanic or Latino,18-25,6-10 miles,1-2 times per week,3-4 times per week,3-4 times per week,,1-2 days per week,,No,"Yes, biking",To commute to school or work,Be Environmentally Friendly,Recreation,Exercise (not on a stationary bike)
4906095051,Female,Asian,26-35,6-10 miles,3-4 times per week,1-2 times per week,,,1-2 days per week,,,,,Be Environmentally Friendly,,
4906039972,Male,White,46-55,11-20 miles,5+ times per week,Never,Never,Never,1-2 days per week,"Not applicable, I do not have children under 18. <strong>Skip to Question 19.</strong>",Yes,"Yes, biking",,,Recreation,Exercise (not on a stationary bike)
4906017776,Female,Asian,18-25,2-5 miles,1-2 times per week,Never,3-4 times per week,Never,1-2 times per month,"Not applicable, I do not have children under 18. <strong>Skip to Question 19.</strong>",Yes,"Yes, biking",To commute to school or work,Be Environmentally Friendly,Recreation,
4905933412,Male,Hispanic or Latino,18-25,2-5 miles,Never,3-4 times per week,5+ times per week,3-4 times per week,1-2 days per week,Yes,Yes,No,,Be Environmentally Friendly,Recreation,Exercise (not on a stationary bike)
4905901678,Male,Hispanic or Latino,Over 56,11-20 miles,1-2 times per week,5+ times per week,Never,Never,1-2 times per month,,No,No,To commute to school or work,,,
4905890224,Female,White,46-55,Under 2 miles,,,,,1-2 times per month,,,"Yes, biking",,,Recreation,Exercise (not on a stationary bike)
4905700484,Female,Hispanic or Latino,36-45,,3-4 times per week,Never,Never,Never,1-2 days per week,"Not applicable, I do not have children under 18. <strong>Skip to Question 19.</strong>",No,No,,,Recreation,Exercise (not on a stationary bike)
4905662676,Female,White,Over 56,2-5 miles,Never,Never,Never,Never,1-2 days per week,"Not applicable, I do not have children under 18. <strong>Skip to Question 19.</strong>",,"Yes, walking",,Be Environmentally Friendly,Recreation,Exercise (not on a stationary bike)
4905582951,Female,White,36-45,2-5 miles,1-2 times per week,Never,3-4 times per week,Never,1-2 days per week,,,,To commute to school or work,Be Environmentally Friendly,Recreation,Exercise (not on a stationary bike)
4905198567,Male,Asian,46-55,6-10 miles,1-2 times per week,3-4 times per week,Never,Never,1-2 times per month,"Not applicable, I do not have children under 18. <strong>Skip to Question 19.</strong>",No,"Yes, biking",,,Recreation,
4905174307,Female,White,Over 56,,,,,,1-2 days per week,Yes,No,No,,Be Environmentally Friendly,Recreation,Exercise (not on a stationary bike)
4905146496,Female,Decline to state,36-45,11-20 miles,5+ times per week,Never,Never,Never,1-2 times per month,No,Yes,"Yes, biking",,,Recreation,Exercise (not on a stationary bike)
4905116657,Female,Asian,26-35,11-20 miles,1-2 times per month,1-2 times per month,1-2 times per month,,1-2 days per week,,No,No,To commute to school or work,Be Environmentally Friendly,Recreation,Exercise (not on a stationary bike)
4905085441,Female,Hispanic or Latino,26-35,Over 20 miles,5+ times per week,Never,Never,Never,1-2 times per month,,,,,,Recreation,
4905076684,Female,Other (please specify),46-55,2-5 miles,Never,Never,5+ times per week,Never,5+ days per week,"Not applicable, I do not have children under 18. <strong>Skip to Question 19.</strong>",No,No,To commute to school or work,Be Environmentally Friendly,Recreation,Exercise (not on a stationary bike)
4905021053,Male,Hispanic or Latino,26-35,11-20 miles,5+ times per week,1-2 times per month,5+ times per week,Never,5+ days per week,,,,To commute to school or work,Be Environmentally Friendly,Recreation,Exercise (not on a stationary bike)
4904964292,Female,Hispanic or Latino,18-25,,,,,,3-4 days per week,,,,,,Recreation,Exercise (not on a stationary bike)
4904889842,Male,White,Over 56,,5+ times per week,Never,Never,Never,3-4 days per week,,No,No,,,,Exercise (not on a stationary bike)
4904858841,Male,White,Over 56,2-5 miles,5+ times per week,Never,Never,Never,1-2 days per week,No,No,"Yes, biking",To commute to school or work,,Recreation,Exercise (not on a stationary bike)
4904845689,Male,White,46-55,11-20 miles,5+ times per week,Never,Never,Never,5+ days per week,"Not applicable, I do not have children under 18. <strong>Skip to Question 19.</strong>",,,,,Recreation,Exercise (not on a stationary bike)
4904817280,Male,White,26-35,,,,,,3-4 days per week,,,,,Be Environmentally Friendly,Recreation,Exercise (not on a stationary bike)
4904792071,Female,Hispanic or Latino,26-35,11-20 miles,5+ times per week,Never,Never,Never,1-2 times per month,No,Yes,"Yes, biking",,,Recreation,Exercise (not on a stationary bike)
4904770727,Male,White,Over 56,Over 20 miles,1-2 times per month,3-4 times per week,3-4 times per week,Never,5+ days per week,"Not applicable, I do not have children under 18. <strong>Skip to Question 19.</strong>",Yes,"Yes, biking",To commute to school or work,Be Environmentally Friendly,Recreation,Exercise (not on a stationary bike)
4904695011,Female,Hispanic or Latino,,,,,,,1-2 days per week,,No,No,,,,
4904519011,Female,White,46-55,11-20 miles,1-2 times per week,1-2 times per week,1-2 times per week,Never,3-4 days per week,,,,To commute to school or work,Be Environmentally Friendly,Recreation,Exercise (not on a stationary bike)
4904489208,Male,White,46-55,11-20 miles,1-2 times per week,Never,3-4 times per week,Never,3-4 days per week,No,No,"Yes, biking",To commute to school or work,Be Environmentally Friendly,Recreation,Exercise (not on a stationary bike)
4904072034,Male,White,26-35,,,,,,3-4 days per week,"Not applicable, I do not have children under 18. <strong>Skip to Question 19.</strong>",Yes,"Yes, biking",,,Recreation,Exercise (not on a stationary bike)
4904053764,Female,Hispanic or Latino,36-45,Over 20 miles,1-2 times per week,3-4 times per week,3-4 times per week,Never,5+ days per week,Yes,Yes,"Yes, biking",To commute to school or work,Be Environmentally Friendly,Recreation,Exercise (not on a stationary bike)
4903998834,Female,White,36-45,Under 2 miles,3-4 times per week,1-2 times per month,1-2 times per week,1-2 times per week,1-2 times per month,,No,"Yes, biking",To commute to school or work,Be Environmentally Friendly,Recreation,Exercise (not on a stationary bike)
4903635534,Female,Asian,36-45,,,,,,1-2 times per month,"Not applicable, I do not have children under 18. <strong>Skip to Question 19.</strong>",No,"Yes, walking",,,,Exercise (not on a stationary bike)
4903584702,Female,White,Over 56,6-10 miles,1-2 times per week,3-4 times per week,Never,Never,1-2 times per month,"Not applicable, I do not have children under 18. <strong>Skip to Question 19.</strong>",No,"Yes, biking",,Be Environmentally Friendly,Recreation,Exercise (not on a stationary bike)
4903453810,Male,White,46-55,6-10 miles,1-2 times per month,5+ times per week,Never,Never,1-2 times per month,,No,No,To commute to school or work,,Recreation,Exercise (not on a stationary bike)
4902977978,Female,Other (please specify),36-45,6-10 miles,5+ times per week,Never,Never,Never,1-2 days per week,No,Yes,"Yes, biking",,,Recreation,Exercise (not on a stationary bike)
4902835660,Female,White,Over 56,,,,,,5+ days per week,"Not applicable, I do not have children under 18. <strong>Skip to Question 19.</strong>",No,No,,,Recreation,Exercise (not on a stationary bike)
4902780211,Male,Decline to state,26-35,6-10 miles,1-2 times per week,1-2 times per week,3-4 times per week,Never,1-2 days per week,"Not applicable, I do not have children under 18. <strong>Skip to Question 19.</strong>",No,"Yes, biking",To commute to school or work,Be Environmentally Friendly,Recreation,Exercise (not on a stationary bike)
4902756512,Male,Asian,36-45,11-20 miles,Never,3-4 times per week,Never,Never,1-2 days per week,,No,No,,Be Environmentally Friendly,Recreation,Exercise (not on a stationary bike)
4902751143,Male,Asian,36-45,Over 20 miles,3-4 times per week,Never,Never,Never,1-2 days per week,No,No,No,,Be Environmentally Friendly,Recreation,Exercise (not on a stationary bike)
4902723592,Male,White,46-55,11-20 miles,1-2 times per week,3-4 times per week,,,1-2 days per week,"Not applicable, I do not have children under 18. <strong>Skip to Question 19.</strong>",No,No,,Be Environmentally Friendly,,Exercise (not on a stationary bike)
4902638472,Male,Hispanic or Latino,36-45,Over 20 miles,5+ times per week,Never,Never,Never,1-2 days per week,"Not applicable, I do not have children under 18. <strong>Skip to Question 19.</strong>",No,"Yes, biking",,,Recreation,Exercise (not on a stationary bike)
4902638016,Male,Asian,36-45,6-10 miles,1-2 times per week,1-2 times per month,3-4 times per week,Never,1-2 days per week,"Not applicable, I do not have children under 18. <strong>Skip to Question 19.</strong>",No,"Yes, biking",To commute to school or work,Be Environmentally Friendly,Recreation,Exercise (not on a stationary bike)
4902611678,Male,White,Over 56,11-20 miles,Never,5+ times per week,1-2 times per month,Never,5+ days per week,"Not applicable, I do not have children under 18. <strong>Skip to Question 19.</strong>",No,"Yes, biking",To commute to school or work,,,
4902584794,Male,Hispanic or Latino,36-45,6-10 miles,5+ times per week,Never,1-2 times per week,Never,3-4 days per week,"Not applicable, I do not have children under 18. <strong>Skip to Question 19.</strong>",Yes,"Yes, biking",,Be Environmentally Friendly,Recreation,Exercise (not on a stationary bike)
4902579956,Other,White,36-45,,,,,,1-2 times per month,Yes,No,No,,,Recreation,Exercise (not on a stationary bike)
4796258916,Female,Black or African American,26-35,11-20 miles,5+ times per week,,,,1-2 times per month,"Not applicable, I do not have children under 18. <strong>Skip to Question 19.</strong>",Yes,"Yes, biking",,Be Environmentally Friendly,Recreation,Exercise (not on a stationary bike)
4796199267,Male,Asian,18-25,,5+ times per week,3-4 times per week,Never,Never,1-2 times per month,"Not applicable, I do not have children under 18. <strong>Skip to Question 19.</strong>",No,"Yes, biking",,Be Environmentally Friendly,Recreation,Exercise (not on a stationary bike)
4796195710,Female,White,36-45,,,,,,,No,Yes,"Yes, biking",,Be Environmentally Friendly,Recreation,Exercise (not on a stationary bike)
4796190149,Female,White,Over 56,2-5 miles,,,5+ times per week,,1-2 days per week,"Not applicable, I do not have children under 18. <strong>Skip to Question 19.</strong>",No,No,To commute to school or work,Be Environmentally Friendly,Recreation,Exercise (not on a stationary bike)
4796172155,Female,Asian,26-35,,,,,,1-2 days per week,"Not applicable, I do not have children under 18. <strong>Skip to Question 19.</strong>",No,No,,,Recreation,Exercise (not on a stationary bike)
4796168577,Female,White,Over 56,,,,,,,,,,,Be Environmentally Friendly,,Exercise (not on a stationary bike)
4796160289,Female,Asian,36-45,,,,,,,"Not applicable, I do not have children under 18. <strong>Skip to Question 19.</strong>",,,,Be Environmentally Friendly,Recreation,Exercise (not on a stationary bike)
4796154215,Male,Hispanic or Latino,26-35,6-10 miles,3-4 times per week,5+ times per week,1-2 times per week,,5+ days per week,Yes,Yes,"Yes, biking",To commute to school or work,Be Environmentally Friendly,Recreation,Exercise (not on a stationary bike)
4796150953,Male,Hispanic or Latino,36-45,6-10 miles,Never,Never,5+ times per week,Never,5+ days per week,Yes,No,No,To commute to school or work,Be Environmentally Friendly,Recreation,Exercise (not on a stationary bike)
4796146006,Male,Asian,Over 56,,,,,,1-2 times per month,No,,,,Be Environmentally Friendly,Recreation,Exercise (not on a stationary bike)
4796142135,Male,Other (please specify),,,,,,,1-2 days per week,No,No,"Yes, biking",,Be Environmentally Friendly,Recreation,Exercise (not on a stationary bike)
4796136984,Male,Hispanic or Latino,46-55,Under 2 miles,,,1-2 times per month,1-2 times per month,1-2 days per week,No,Yes,"Yes, biking",,Be Environmentally Friendly,Recreation,
4793626845,Male,Hispanic or Latino,46-55,,,,,,1-2 days per week,"Not applicable, I do not have children under 18. <strong>Skip to Question 19.</strong>",No,"Yes, biking",,,Recreation,
4793622963,Female,Hispanic or Latino,18-25,Over 20 miles,5+ times per week,1-2 times per month,Never,Never,1-2 days per week,,No,No,,,,Exercise (not on a stationary bike)
4793615523,Female,Asian,13-17,,,,,,,"Not applicable, I do not have children under 18. <strong>Skip to Question 19.</strong>",Yes,"Yes, walking",,,,Exercise (not on a stationary bike)
4793604443,Male,White,46-55,11-20 miles,Never,,,,1-2 times per month,,Yes,No,,Be Environmentally Friendly,Recreation,Exercise (not on a stationary bike)
4793601934,Male,American Indian or Alaska Native,26-35,Under 2 miles,Never,1-2 times per month,5+ times per week,5+ times per week,5+ days per week,"Not applicable, I do not have children under 18. <strong>Skip to Question 19.</strong>",,,To commute to school or work,Be Environmentally Friendly,Recreation,Exercise (not on a stationary bike)
4793596880,Male,Asian,13-17,Under 2 miles,Never,Never,5+ times per week,5+ times per week,5+ days per week,"Not applicable, I do not have children under 18. <strong>Skip to Question 19.</strong>",Yes,"Yes, biking",To commute to school or work,,Recreation,Exercise (not on a stationary bike)
4793588988,Male,Asian,Over 56,Under 2 miles,,,5+ times per week,1-2 times per month,1-2 days per week,No,No,"Yes, biking",To commute to school or work,Be Environmentally Friendly,Recreation,Exercise (not on a stationary bike)
4793583110,Male,White,36-45,11-20 miles,5+ times per week,Never,Never,Never,3-4 days per week,"Not applicable, I do not have children under 18. <strong>Skip to Question 19.</strong>",No,"Yes, biking",,Be Environmentally Friendly,Recreation,Exercise (not on a stationary bike)
4793564403,Female,Hispanic or Latino,36-45,11-20 miles,5+ times per week,Never,Never,Never,1-2 times per month,No,No,No,,,Recreation,Exercise (not on a stationary bike)
4793560393,Male,Asian,46-55,Over 20 miles,5+ times per week,,Never,Never,1-2 times per month,Yes,,,,,Recreation,Exercise (not on a stationary bike)
4793553465,Female,Asian,26-35,Under 2 miles,1-2 times per month,Never,1-2 times per month,5+ times per week,1-2 days per week,"Not applicable, I do not have children under 18. <strong>Skip to Question 19.</strong>",,,,,Recreation,Exercise (not on a stationary bike)
4793549574,Male,Hispanic or Latino,Over 56,6-10 miles,1-2 times per week,1-2 times per week,1-2 times per week,Never,3-4 days per week,"Not applicable, I do not have children under 18. <strong>Skip to Question 19.</strong>",,"Yes, biking",To commute to school or work,Be Environmentally Friendly,Recreation,Exercise (not on a stationary bike)
4793545584,Male,Hispanic or Latino,46-55,Over 20 miles,3-4 times per week,Never,Never,Never,1-2 times per month,No,No,"Yes, walking",,,,
4793529429,Male,Hispanic or Latino,46-55,,,,,,1-2 days per week,No,No,No,,Be Environmentally Friendly,,Exercise (not on a stationary bike)
4793526495,Male,Hispanic or Latino,46-55,,,,,,3-4 days per week,No,No,"Yes, walking",,,,Exercise (not on a stationary bike)
4793523595,Female,Hispanic or Latino,46-55,11-20 miles,,Never,,,1-2 times per month,,No,,,,,Exercise (not on a stationary bike)
4793518675,Male,Hispanic or Latino,46-55,,,,,,5+ days per week,Yes,No,No,,,Recreation,Exercise (not on a stationary bike)
4793515905,Male,Asian,26-35,,,,,,1-2 days per week,,Yes,No,,,Recreation,
4793515446,Female,Hispanic or Latino,36-45,,,,,,1-2 times per month,"Not applicable, I do not have children under 18. <strong>Skip to Question 19.</strong>",No,No,To commute to school or work,Be Environmentally Friendly,Recreation,Exercise (not on a stationary bike)
4793511723,Male,Hispanic or Latino,26-35,Over 20 miles,3-4 times per week,1-2 times per week,3-4 times per week,,3-4 days per week,"Not applicable, I do not have children under 18. <strong>Skip to Question 19.</strong>",,"Yes, biking",To commute to school or work,,,
4793506189,Male,Hispanic or Latino,26-35,6-10 miles,1-2 times per week,5+ times per week,5+ times per week,1-2 times per month,3-4 days per week,"Not applicable, I do not have children under 18. <strong>Skip to Question 19.</strong>",,"Yes, biking",To commute to school or work,Be Environmentally Friendly,Recreation,Exercise (not on a stationary bike)
4793503191,Male,Asian,13-17,Under 2 miles,Never,Never,Never,5+ times per week,1-2 times per month,,No,No,To commute to school or work,,,Exercise (not on a stationary bike)
4793501222,Female,Hispanic or Latino,26-35,11-20 miles,5+ times per week,,,,1-2 times per month,"Not applicable, I do not have children under 18. <strong>Skip to Question 19.</strong>",Yes,"Yes, walking",,,Recreation,Exercise (not on a stationary bike)
4793499913,Female,Asian,18-25,2-5 miles,1-2 times per month,5+ times per week,Never,5+ times per week,1-2 times per month,,No,No,To commute to school or work,,,Exercise (not on a stationary bike)
4793496367,Female,Asian,46-55,6-10 miles,3-4 times per week,,,,3-4 days per week,,No,No,,Be Environmentally Friendly,Recreation,Exercise (not on a stationary bike)
4793493143,Female,White,46-55,,,,,,1-2 times per month,,No,No,,,Recreation,Exercise (not on a stationary bike)
4793486796,Female,Hispanic or Latino,36-45,6-10 miles,Never,Never,Never,Never,1-2 times per month,,No,No,,,Recreation,
4793482337,Female,Asian,36-45,,,,,,1-2 times per month,Yes,No,No,,Be Environmentally Friendly,Recreation,Exercise (not on a stationary bike)
4793478179,Female,Hispanic or Latino,46-55,11-20 miles,5+ times per week,,,,,,No,No,,,Recreation,Exercise (not on a stationary bike)
4793475533,Female,Hispanic or Latino,36-45,11-20 miles,5+ times per week,Never,Never,Never,,,No,No,,,Recreation,Exercise (not on a stationary bike)
4793471797,Female,White,Over 56,,,,,,1-2 times per month,"Not applicable, I do not have children under 18. <strong>Skip to Question 19.</strong>",No,No,,,Recreation,Exercise (not on a stationary bike)
4793468234,Female,Asian,36-45,11-20 miles,1-2 times per week,1-2 times per week,,,1-2 times per month,,No,No,To commute to school or work,,,Exercise (not on a stationary bike)
4793463350,Female,Hispanic or Latino,Over 56,,,,,,1-2 days per week,,No,No,,Be Environmentally Friendly,,Exercise (not on a stationary bike)
4793460658,Male,Hispanic or Latino,26-35,6-10 miles,3-4 times per week,1-2 times per month,1-2 times per week,Never,3-4 days per week,"Not applicable, I do not have children under 18. <strong>Skip to Question 19.</strong>",Yes,No,To commute to school or work,Be Environmentally Friendly,Recreation,Exercise (not on a stationary bike)
4793459961,Female,Hispanic or Latino,26-35,2-5 miles,,1-2 times per month,3-4 times per week,5+ times per week,3-4 days per week,,Yes,"Yes, biking",To commute to school or work,Be Environmentally Friendly,Recreation,Exercise (not on a stationary bike)
4793456394,Female,Asian,Over 56,,,,,,,,Yes,"Yes, walking",,Be Environmentally Friendly,Recreation,Exercise (not on a stationary bike)
4793453054,Male,Hispanic or Latino,46-55,Over 20 miles,5+ times per week,,,,,,No,No,,Be Environmentally Friendly,Recreation,Exercise (not on a stationary bike)
4793448923,Female,White,36-45,Under 2 miles,Never,Never,5+ times per week,Never,3-4 days per week,"Not applicable, I do not have children under 18. <strong>Skip to Question 19.</strong>",,,To commute to school or work,,Recreation,Exercise (not on a stationary bike)
4793447690,Female,Asian,36-45,,,,,,1-2 times per month,Yes,Yes,No,,,Recreation,Exercise (not on a stationary bike)
4793443162,Female,White,Over 56,2-5 miles,3-4 times per week,1-2 times per week,1-2 times per week,1-2 times per month,1-2 days per week,,,,,,Recreation,Exercise (not on a stationary bike)
4793441930,Female,White,36-45,2-5 miles,3-4 times per week,,1-2 times per week,,3-4 days per week,No,Yes,No,To commute to school or work,Be Environmentally Friendly,Recreation,Exercise (not on a stationary bike)
4793438504,Female,Hispanic or Latino,46-55,,,,,,1-2 times per month,No,No,No,,,Recreation,Exercise (not on a stationary bike)
4793435745,Female,White,36-45,,,,,,1-2 days per week,,No,No,,,,Exercise (not on a stationary bike)
4793433136,Female,Asian,26-35,,,,,,1-2 times per month,,No,No,,,Recreation,Exercise (not on a stationary bike)
4793429026,Female,Hispanic or Latino,,,,,,,,No,No,"Yes, biking",,,Recreation,Exercise (not on a stationary bike)
4793425101,Female,Hispanic or Latino,46-55,11-20 miles,3-4 times per week,,,,3-4 days per week,,Yes,"Yes, biking",,,Recreation,Exercise (not on a stationary bike)
4793421778,Female,Asian,36-45,,,,,,,,Yes,No,,,Recreation,
4793418378,Female,Hispanic or Latino,46-55,,,,,,,,Yes,"Yes, biking",,,Recreation,Exercise (not on a stationary bike)
4793415572,Female,Asian,36-45,6-10 miles,5+ times per week,Never,Never,3-4 times per week,,,Yes,"Yes, biking",,,Recreation,Exercise (not on a stationary bike)
4793410933,Female,Asian,36-45,,,,,,,,No,"Yes, walking",,,Recreation,Exercise (not on a stationary bike)
4793408231,Female,Asian,26-35,,,,,,,,No,"Yes, biking",,,Recreation,Exercise (not on a stationary bike)
4793403108,Male,White,26-35,11-20 miles,3-4 times per week,Never,1-2 times per month,Never,3-4 days per week,"Not applicable, I do not have children under 18. <strong>Skip to Question 19.</strong>",Yes,"Yes, biking",To commute to school or work,Be Environmentally Friendly,Recreation,Exercise (not on a stationary bike)
4793396366,Male,Hispanic or Latino,26-35,Over 20 miles,5+ times per week,5+ times per week,5+ times per week,5+ times per week,1-2 times per month,"Not applicable, I do not have children under 18. <strong>Skip to Question 19.</strong>",No,No,To commute to school or work,,,
4793395558,Male,White,36-45,Under 2 miles,Never,Never,3-4 times per week,3-4 times per week,5+ days per week,"Not applicable, I do not have children under 18. <strong>Skip to Question 19.</strong>",Yes,No,To commute to school or work,,Recreation,Exercise (not on a stationary bike)
4793390642,Female,Hispanic or Latino,,,,,,,,"Not applicable, I do not have children under 18. <strong>Skip to Question 19.</strong>",Yes,No,,,,
4793371712,Female,Hispanic or Latino,18-25,Over 20 miles,5+ times per week,3-4 times per week,1-2 times per week,Never,3-4 days per week,,Yes,"Yes, biking",To commute to school or work,Be Environmentally Friendly,,Exercise (not on a stationary bike)
4793366277,Female,Black or African American,46-55,6-10 miles,5+ times per week,,,,,,No,No,,,,Exercise (not on a stationary bike)
4793363535,Female,White,36-45,,,,,,1-2 times per month,No,Yes,No,,,Recreation,
4793362248,Male,Asian,Under 13,Under 2 miles,3-4 times per week,Never,Never,1-2 times per month,1-2 times per month,"Not applicable, I do not have children under 18. <strong>Skip to Question 19.</strong>",No,No,To commute to school or work,,Recreation,Exercise (not on a stationary bike)
4793359675,Female,American Indian or Alaska Native,,,,,,,1-2 days per week,"Not applicable, I do not have children under 18. <strong>Skip to Question 19.</strong>",No,"Yes, biking",,,Recreation,Exercise (not on a stationary bike)
4793357490,Female,Asian,36-45,11-20 miles,5+ times per week,,,,,Yes,Yes,No,,,Recreation,Exercise (not on a stationary bike)
